name ts   x y z   roll pitch yaw  err delay
HR_6 1787068297.698176000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000117
QR_4 1787068297.698176000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000117
HR_6 1787068297.708176000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.8e-05
QR_4 1787068297.708176000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068297.718176000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.2e-05
QR_4 1787068297.718176000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.2e-05
HR_6 1787068297.728176000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000302
QR_4 1787068297.728176000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000302
HR_6 1787068297.738176000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.7e-05
QR_4 1787068297.738176000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.7e-05
HR_6 1787068297.748174000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2e-06
QR_4 1787068297.748174000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068297.758170000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2e-06
QR_4 1787068297.758170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068297.768170000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.2e-05
QR_4 1787068297.768170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.2e-05
HR_6 1787068297.778170000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000591
QR_4 1787068297.778170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000591
HR_6 1787068297.788170000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   4.4e-05
QR_4 1787068297.788170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.4e-05
HR_6 1787068297.798170000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.1e-05
QR_4 1787068297.798170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.1e-05
HR_6 1787068297.808164000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2e-06
QR_4 1787068297.808164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068297.818165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.9e-05
QR_4 1787068297.818165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.9e-05
HR_6 1787068297.828165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000156
QR_4 1787068297.828165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000156
HR_6 1787068297.838165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   4e-06
QR_4 1787068297.838165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4e-06
HR_6 1787068297.848165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.2e-05
QR_4 1787068297.848165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.2e-05
HR_6 1787068297.858165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.8e-05
QR_4 1787068297.858165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068297.868165000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3.4e-05
QR_4 1787068297.868165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.4e-05
HR_6 1787068297.878159000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3e-06
QR_4 1787068297.878159000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3e-06
HR_6 1787068297.888160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.7e-05
QR_4 1787068297.888160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.7e-05
HR_6 1787068297.898160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.1e-05
QR_4 1787068297.898160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.1e-05
HR_6 1787068297.908160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   9e-06
QR_4 1787068297.908160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   9e-06
HR_6 1787068297.918160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.001335
QR_4 1787068297.918160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.001335
HR_6 1787068297.928160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.6e-05
QR_4 1787068297.928160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.6e-05
HR_6 1787068297.938160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   6.6e-05
QR_4 1787068297.938160000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6.6e-05
HR_6 1787068297.948160000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   5.5e-05
