# pom logged on Tue Aug 18 15:51:37 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068297.693673000 0 1 1 1 1 1 0.677729 -0.746537 0.240001 1.18576e-05 3.38688e-05 0.991977 -0.000246986 0.000114485 0.000513183 -0.000751174 0.000756794 -0.00120552 -0.00332359 0.000521433 0.00180092 2.5825e-08 2.5825e-08 2.56123e-08 7.86578e-07 7.86578e-07 7.88175e-07 1.46858e-05 1.46858e-05 1.45697e-05 1.46858e-05 1.46858e-05 1.45697e-05 0.0250601 0.0250601 0.0249967
1787068297.694791000 0 1 1 1 1 1 0.677729 -0.746537 0.240001 2.18333e-06 3.20851e-05 0.991976 -0.000252726 0.000122873 0.000524718 -0.0011853 -0.000698646 -0.00117187 -0.00359056 0.00153318 0.00303347 2.69609e-08 2.69609e-08 2.67484e-08 8.11675e-07 8.11675e-07 8.13272e-07 1.47938e-05 1.47938e-05 1.46723e-05 1.47938e-05 1.47938e-05 1.46723e-05 0.0224641 0.0224641 0.0224006
1787068297.695836000 0 1 1 1 1 1 0.677729 -0.746537 0.240002 8.94605e-07 3.27226e-05 0.991975 -0.000256479 0.000124475 0.000527888 -0.0011853 -0.000698646 -0.00117187 -0.00359056 0.00153318 0.00303347 2.80577e-08 2.80577e-08 2.78451e-08 8.8364e-07 8.8364e-07 8.85237e-07 1.51025e-05 1.51025e-05 1.49759e-05 1.51025e-05 1.51025e-05 1.49759e-05 0.0273028 0.0273028 0.0272393
1787068297.696758000 0 1 1 1 1 1 0.677728 -0.746537 0.240002 -2.05914e-06 2.88332e-05 0.991976 -0.00025479 0.000131855 0.000541152 -0.000827058 -0.00121723 -0.000918746 -0.00294418 0.00230462 0.00438664 2.90378e-08 2.90378e-08 2.88247e-08 6.78148e-07 6.78148e-07 6.79745e-07 1.43274e-05 1.43274e-05 1.41962e-05 1.43274e-05 1.43274e-05 1.41962e-05 0.00993718 0.00993718 0.00987349
1787068297.697724000 0 1 1 1 1 1 0.677728 -0.746537 0.240003 -3.4806e-06 2.88588e-05 0.991975 -0.000257634 0.000134082 0.000545389 -0.000827058 -0.00121723 -0.000918746 -0.00294418 0.00230462 0.00438664 3.01014e-08 3.01014e-08 2.98875e-08 7.076e-07 7.076e-07 7.09197e-07 1.44793e-05 1.44793e-05 1.43431e-05 1.44793e-05 1.44793e-05 1.43431e-05 0.016 0.016 0.0159363
1787068297.700830000 0 1 1 1 1 1 0.677725 -0.746534 0.240004 -1.10098e-05 2.12416e-05 0.991983 -0.00030626 0.00019297 0.000547474 -0.000613391 -0.00189567 0.00022467 -0.00350817 0.00377901 0.00465388 2.58005e-08 2.58005e-08 2.56805e-08 5.93684e-07 5.93684e-07 5.95059e-07 1.19389e-05 1.19389e-05 1.18029e-05 1.19389e-05 1.19389e-05 1.18029e-05 0.0118647 0.0118647 0.0118101
1787068297.701713000 0 1 1 1 1 1 0.677725 -0.746534 0.240004 -1.27075e-05 2.07793e-05 0.991983 -0.000309358 0.000196307 0.000551584 -0.000613391 -0.00189567 0.00022467 -0.00350817 0.00377901 0.00465388 2.66274e-08 2.66274e-08 2.65073e-08 6.29061e-07 6.29061e-07 6.30437e-07 1.21037e-05 1.21037e-05 1.19639e-05 1.21037e-05 1.21037e-05 1.19639e-05 0.0179397 0.0179397 0.0178851
1787068297.702728000 0 1 1 1 1 1 0.677725 -0.746534 0.240005 -1.76764e-05 1.66814e-05 0.991991 -0.000318933 0.000214092 0.000557592 -0.000398531 -0.00261699 0.00145431 -0.00432161 0.00565058 0.0048264 2.75987e-08 2.75987e-08 2.74781e-08 6.13061e-07 6.13061e-07 6.14439e-07 1.20243e-05 1.20243e-05 1.18798e-05 1.20243e-05 1.20243e-05 1.18798e-05 0.0132988 0.0132988 0.0132441
1787068297.703967000 0 1 1 1 1 1 0.677724 -0.746533 0.240006 -1.98557e-05 1.4595e-05 0.991992 -0.000329391 0.000223651 0.000562291 -0.00021984 -0.00256976 0.00128387 -0.00513283 0.00605709 0.00462276 2.88174e-08 2.88174e-08 2.86957e-08 5.79459e-07 5.79459e-07 5.80837e-07 1.18978e-05 1.18978e-05 1.17476e-05 1.18978e-05 1.18978e-05 1.17476e-05 0.00791128 0.00791128 0.00785652
1787068297.704747000 0 1 1 1 1 1 0.677724 -0.746533 0.240006 -2.16272e-05 1.36423e-05 0.991993 -0.000333394 0.000228374 0.000565897 -0.00021984 -0.00256976 0.00128387 -0.00513283 0.00605709 0.00462276 2.96042e-08 2.96042e-08 2.94815e-08 5.93529e-07 5.93529e-07 5.94907e-07 1.19744e-05 1.19744e-05 1.18205e-05 1.19744e-05 1.19744e-05 1.18205e-05 0.0118281 0.0118281 0.0117733
