name ts   x y z   roll pitch yaw  err delay
HR_6 1787068343.618172000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000215
QR_4 1787068343.618172000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000215
HR_6 1787068343.628172000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2.2e-05
QR_4 1787068343.628172000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.2e-05
HR_6 1787068343.638170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1e-06
QR_4 1787068343.638170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1e-06
HR_6 1787068343.648170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.6e-05
QR_4 1787068343.648170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.6e-05
HR_6 1787068343.658170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5e-06
QR_4 1787068343.658170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5e-06
HR_6 1787068343.668170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   7.6e-05
QR_4 1787068343.668170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   7.6e-05
HR_6 1787068343.678170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.8e-05
QR_4 1787068343.678170000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.8e-05
HR_6 1787068343.688170000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4e-05
