# pom logged on Tue Aug 18 15:52:23 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068343.627796000 0 1 1 1 1 1 0.837486 -0.868468 0.239991 2.00651e-05 3.3589e-05 0.944614 -0.000336217 0.00057048 0.000594477 -0.000713559 0.00108403 -0.000551611 0.000103677 0.00435355 0.00564153 3.43525e-08 3.43525e-08 3.42495e-08 1.84855e-06 1.84855e-06 1.84984e-06 1.77446e-05 1.77446e-05 1.75587e-05 1.77446e-05 1.77446e-05 1.75587e-05 0.0634442 0.0634442 0.0633878
1787068343.628736000 0 1 1 1 1 1 0.837486 -0.868468 0.239991 2.04977e-05 3.47298e-05 0.944613 -0.00033612 0.000574573 0.000599781 -0.000713559 0.00108403 -0.000551611 0.000103677 0.00435355 0.00564153 3.55005e-08 3.55005e-08 3.53944e-08 2.13815e-06 2.13815e-06 2.13944e-06 1.89478e-05 1.89478e-05 1.87569e-05 1.89478e-05 1.89478e-05 1.87569e-05 0.0700335 0.0700335 0.069977
1787068343.629829000 0 1 1 1 1 1 0.837484 -0.868466 0.239994 1.06479e-05 2.9976e-05 0.944613 -0.000367881 0.000596145 0.000638193 -0.00100861 0.000380521 -0.000494748 -0.000328265 0.00450775 0.00508321 2.71944e-08 2.71944e-08 2.71391e-08 5.43751e-07 5.43751e-07 5.44941e-07 1.03614e-05 1.03614e-05 1.01907e-05 1.03614e-05 1.03614e-05 1.01907e-05 0.0111853 0.0111853 0.0111359
1787068343.630792000 0 1 1 1 1 1 0.837483 -0.868466 0.239995 6.75421e-06 3.04958e-05 0.944613 -0.000368165 0.000599795 0.000638527 -0.00130738 -0.000176033 -0.000441672 -0.000333653 0.00442713 0.00451746 2.80621e-08 2.80621e-08 2.80048e-08 5.30877e-07 5.30877e-07 5.32078e-07 1.01895e-05 1.01895e-05 1.00146e-05 1.01895e-05 1.01895e-05 1.00146e-05 0.0105954 0.0105954 0.010546
1787068343.631747000 0 1 1 1 1 1 0.837483 -0.868465 0.239995 6.10788e-06 3.09675e-05 0.944614 -0.000366574 0.00060353 0.000642657 -0.00121114 -0.000191656 -0.000166514 -7.49578e-05 0.00435941 0.00449244 2.89434e-08 2.89434e-08 2.88838e-08 5.30346e-07 5.30346e-07 5.31548e-07 1.0161e-05 1.0161e-05 9.98193e-06 1.0161e-05 1.0161e-05 9.98193e-06 0.0101388 0.0101388 0.0100894
1787068343.633029000 0 1 1 1 1 1 0.837482 -0.868464 0.239996 5.42472e-06 3.16114e-05 0.944615 -0.000364329 0.000608604 0.000648872 -0.00109047 -0.000178368 0.000124761 0.000255556 0.00428662 0.00455678 3.01559e-08 3.01559e-08 3.00925e-08 5.38559e-07 5.38559e-07 5.39761e-07 1.01938e-05 1.01938e-05 1.00089e-05 1.01938e-05 1.01938e-05 1.00089e-05 0.0118876 0.0118876 0.0118383
1787068343.635464000 0 1 1 1 1 1 0.837482 -0.868463 0.239998 1.82461e-06 3.45264e-05 0.944614 -0.000332206 0.000599669 0.000654125 -0.0014232 -0.000265103 4.67157e-06 0.00512954 0.00131768 0.0036061 3.25504e-08 3.25504e-08 3.24775e-08 5.28381e-07 5.28382e-07 5.29584e-07 1.0174e-05 1.0174e-05 9.97756e-06 1.0174e-05 1.0174e-05 9.97756e-06 0.00832263 0.00832263 0.00827324
1787068343.636695000 0 1 1 1 1 1 0.837481 -0.868462 0.239999 5.33487e-07 3.57547e-05 0.944614 -0.000325892 0.000601291 0.000658564 -0.0014232 -0.000265103 4.67157e-06 0.00512954 0.00131768 0.0036061 3.38076e-08 3.38076e-08 3.37289e-08 5.52461e-07 5.52461e-07 5.53664e-07 1.02987e-05 1.02987e-05 1.00962e-05 1.02987e-05 1.02987e-05 1.00962e-05 0.0137596 0.0137596 0.0137102
1787068343.637713000 0 1 1 1 1 1 0.837481 -0.868462 0.239999 -5.58326e-07 3.50552e-05 0.944612 -0.000312246 0.000592822 0.000660077 -0.00118532 -0.000442395 -0.000415408 0.00645885 -0.000230207 0.00326553 3.48692e-08 3.48692e-08 3.4785e-08 5.32182e-07 5.32182e-07 5.33384e-07 1.02164e-05 1.02164e-05 1.00088e-05 1.02164e-05 1.02164e-05 1.00088e-05 0.0105709 0.0105709 0.0105215
1787068343.638706000 0 1 1 1 1 1 0.837481 -0.868461 0.24 -1.6098e-06 3.43806e-05 0.944609 -0.0003032 0.000586458 0.000662534 -0.000970442 -0.000599239 -0.00077787 0.00687787 -0.00120614 0.00314055 3.59255e-08 3.59255e-08 3.58354e-08 5.31337e-07 5.31337e-07 5.32539e-07 1.02073e-05 1.02073e-05 9.99462e-06 1.02073e-05 1.02073e-05 9.99462e-06 0.0100862 0.0100862 0.0100368
1787068343.642366000 0 1 1 1 1 1 0.837479 -0.86846 0.240002 -7.16293e-06 3.05415e-05 0.944604 -0.000285252 0.000566739 0.000678678 -0.000982194 -0.000934771 -0.00110251 0.0066022 -0.00138545 0.00354727 2.95524e-08 2.95524e-08 2.94919e-08 5.63549e-07 5.63549e-07 5.64729e-07 8.52538e-06 8.52538e-06 8.33152e-06 8.52538e-06 8.52538e-06 8.33152e-06 0.0232425 0.0232425 0.0231987
1787068343.643755000 0 1 1 1 1 1 0.837479 -0.868459 0.240003 -4.82143e-06 3.17493e-05 0.944605 -0.00028319 0.00056504 0.000676152 -0.000737996 -0.000392671 -0.00086516 0.00573143 -0.00135944 0.00263017 3.07534e-08 3.07534e-08 3.0685e-08 5.97344e-07 5.97344e-07 5.98526e-07 8.67304e-06 8.67304e-06 8.47287e-06 8.67304e-06 8.67304e-06 8.47287e-06 0.0265916 0.0265916 0.0265478
1787068343.645247000 0 1 1 1 1 1 0.837478 -0.868458 0.240004 -3.57504e-07 3.30971e-05 0.944606 -0.00028748 0.000563444 0.000665618 -0.000357168 0.000309103 -0.000430102 0.00402358 -0.00132586 0.000797426 3.20737e-08 3.20737e-08 3.19958e-08 4.67042e-07 4.67042e-07 4.68225e-07 8.15784e-06 8.15784e-06 7.95072e-06 8.15784e-06 8.15784e-06 7.95072e-06 0.0082371 0.0082371 0.00819321
1787068343.645696000 0 1 1 1 1 1 0.837478 -0.868458 0.240005 -3.39037e-07 3.33083e-05 0.944606 -0.000285674 0.000562848 0.000665976 -0.000357168 0.000309103 -0.000430102 0.00402358 -0.00132586 0.000797426 3.24793e-08 3.24793e-08 3.23984e-08 4.7492e-07 4.7492e-07 4.76103e-07 8.20148e-06 8.20148e-06 7.99222e-06 8.20148e-06 8.20148e-06 7.99222e-06 0.0105682 0.0105682 0.0105243
1787068343.648197000 0 1 1 1 1 1 0.837478 -0.868456 0.240006 2.81723e-06 3.63878e-05 0.944609 -0.000261921 0.000555301 0.000661865 -0.00032096 0.000833627 9.45509e-05 0.00569919 -0.00184392 4.98642e-05 3.4799e-08 3.4799e-08 3.46988e-08 5.12212e-07 5.12212e-07 5.13394e-07 8.36777e-06 8.36777e-06 8.14632e-06 8.36777e-06 8.36777e-06 8.14632e-06 0.0163407 0.0163407 0.0162968
1787068343.648766000 0 1 1 1 1 1 0.837478 -0.868456 0.240007 5.40932e-06 3.62718e-05 0.94461 -0.000252352 0.000556226 0.000660098 -8.71559e-06 0.00110446 0.000380072 0.00668975 -0.00153456 -0.000231349 3.53396e-08 3.53396e-08 3.52346e-08 4.75462e-07 4.75462e-07 4.76645e-07 8.2129e-06 8.2129e-06 7.9886e-06 8.2129e-06 8.2129e-06 7.9886e-06 0.00921963 0.00921963 0.00917568
