name ts   x y z   roll pitch yaw  err delay
HR_6 1787064779.762432000 1.000000   5.81965e-13 0.225171 -2.67567e-12   2.54954e-08 -2.98406e-17 0.0001   3e-06
QR_4 1787064779.762432000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3e-06
HR_6 1787064779.772426000 1.000000   5.82326e-13 0.225181 -2.67744e-12   2.55122e-08 -2.98389e-17 0.0001   2e-06
QR_4 1787064779.772426000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2e-06
HR_6 1787064779.782426000 1.000000   5.82853e-13 0.225193 -2.67955e-12   2.55323e-08 -2.98364e-17 0.0001   7e-06
QR_4 1787064779.782426000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7e-06
HR_6 1787064779.792426000 1.000000   5.83117e-13 0.225201 -2.68096e-12   2.55458e-08 -2.9847e-17 0.0001   1.9e-05
QR_4 1787064779.792426000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.9e-05
HR_6 1787064779.802408000 1.000000   5.83408e-13 0.225207 -2.68202e-12   2.55559e-08 -2.98361e-17 0.0001   3e-06
QR_4 1787064779.802408000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3e-06
HR_6 1787064779.812409000 1.000000   5.83728e-13 0.225215 -2.68343e-12   2.55693e-08 -2.98483e-17 0.0001   0.000155
QR_4 1787064779.812409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000155
HR_6 1787064779.822409000 1.000000   5.84088e-13 0.225225 -2.6852e-12   2.55861e-08 -2.98662e-17 0.0001   2.5e-05
QR_4 1787064779.822409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.5e-05
HR_6 1787064779.832409000 1.000000   5.84519e-13 0.225235 -2.68696e-12   2.56029e-08 -2.98013e-17 0.0001   9.9e-05
QR_4 1787064779.832409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   9.9e-05
HR_6 1787064779.842409000 1.000000   5.84838e-13 0.225243 -2.68837e-12   2.56164e-08 -2.97987e-17 0.0001   0.000184
QR_4 1787064779.842409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000184
HR_6 1787064779.852409000 1.000000   5.85115e-13 0.225251 -2.68978e-12   2.56298e-08 -2.97979e-17 0.0001   4.2e-05
QR_4 1787064779.852409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.2e-05
HR_6 1787064779.862409000 1.000000   5.85393e-13 0.225257 -2.69084e-12   2.56399e-08 -2.982e-17 0.0001   0.000234
QR_4 1787064779.862409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000234
HR_6 1787064779.872409000 1.000000   5.8567e-13 0.225265 -2.69225e-12   2.56533e-08 -2.97655e-17 0.0001   0.000454
QR_4 1787064779.872409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000454
HR_6 1787064779.882409000 1.000000   5.86087e-13 0.225275 -2.69401e-12   2.56701e-08 -2.97212e-17 0.0001   4.6e-05
QR_4 1787064779.882409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.6e-05
HR_6 1787064779.892409000 1.000000   5.86503e-13 0.225285 -2.69578e-12   2.56869e-08 -2.97065e-17 0.0001   4.4e-05
QR_4 1787064779.892409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.4e-05
HR_6 1787064779.902409000 1.000000   5.86781e-13 0.225293 -2.69719e-12   2.57004e-08 -2.97105e-17 0.0001   2.5e-05
QR_4 1787064779.902409000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.5e-05
HR_6 1787064779.912410000 1.000000   5.87197e-13 0.225303 -2.69895e-12   2.57172e-08 -2.97024e-17 0.0001   3.4e-05
QR_4 1787064779.912410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.4e-05
HR_6 1787064779.922410000 1.000000   5.87516e-13 0.225311 -2.70036e-12   2.57306e-08 -2.97579e-17 0.0001   4.2e-05
QR_4 1787064779.922410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.2e-05
HR_6 1787064779.932410000 1.000000   5.87752e-13 0.225317 -2.70142e-12   2.57407e-08 -2.97285e-17 0.0001   5.7e-05
QR_4 1787064779.932410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.7e-05
HR_6 1787064779.942410000 1.000000   5.88168e-13 0.225327 -2.70318e-12   2.57575e-08 -2.97296e-17 0.0001   5.4e-05
QR_4 1787064779.942410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.4e-05
HR_6 1787064779.952410000 1.000000   5.88543e-13 0.225337 -2.70494e-12   2.57743e-08 -2.97226e-17 0.0001   2.8e-05
QR_4 1787064779.952410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.8e-05
HR_6 1787064779.962410000 1.000000   5.88862e-13 0.225345 -2.70636e-12   2.57877e-08 -2.96976e-17 0.0001   6.4e-05
QR_4 1787064779.962410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   6.4e-05
HR_6 1787064779.972410000 1.000000   5.89279e-13 0.225355 -2.70812e-12   2.58045e-08 -2.97201e-17 0.0001   2.7e-05
QR_4 1787064779.972410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.7e-05
HR_6 1787064779.982410000 1.000000   5.89653e-13 0.225365 -2.70988e-12   2.58213e-08 -2.97113e-17 0.0001   3.1e-05
QR_4 1787064779.982410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.1e-05
HR_6 1787064779.992410000 1.000000   5.9007e-13 0.225375 -2.71165e-12   2.58381e-08 -2.97616e-17 0.0001   1.7e-05
