# pom logged on Tue Aug 18 14:52:59 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787064779.763172000 0 1 1 1 1 1 -0.999529 1.60176e-06 0.0299861 8.21223e-05 -1.7109e-06 1.04151e-06 -0.0026497 0.000241705 0.000138955 -0.000425004 -0.000934291 0.00016469 -0.002456 0.0182496 0.00456877 1.23109e-07 1.23109e-07 1.23106e-07 5.00126e-06 5.00126e-06 5.1632e-06 0.000205148 0.000205148 0.000205093 0.000205148 0.000205148 0.000205093 0.0627366 0.0627366 0.0624244
1787064779.764194000 0 1 1 1 1 1 -0.999797 1.06028e-06 0.029994 3.44393e-05 -3.57578e-06 -1.04981e-07 -0.00694639 0.000247157 0.000268179 -0.00159148 -0.000655603 2.09698e-05 -0.00141572 0.0181059 0.00442804 5.83026e-08 5.83026e-08 5.8302e-08 1.94923e-06 1.94923e-06 1.99089e-06 0.000182251 0.000182251 0.000182218 0.000182251 0.000182251 0.000182218 0.00488073 0.00488073 0.00469445
1787064779.765204000 0 1 1 1 1 1 -0.999804 1.33577e-06 0.0299943 3.36501e-05 -3.99135e-06 -4.97356e-07 -0.00694373 0.000269686 0.000273031 -0.00145399 -0.000612121 -4.98773e-05 -0.00101969 0.0185154 0.00446477 6.09724e-08 6.09724e-08 6.09715e-08 1.94959e-06 1.94959e-06 1.99129e-06 0.000182176 0.000182176 0.000182138 0.000182176 0.000182176 0.000182138 0.00472932 0.00472932 0.00454249
1787064779.766404000 0 1 1 1 1 1 -0.999812 1.68641e-06 0.0299946 3.39073e-05 -4.61797e-06 -1.37995e-06 -0.00694234 0.0002953 0.000276638 -0.000978107 -0.000585314 -0.000246313 -0.000683967 0.0189513 0.0042405 6.46282e-08 6.46282e-08 6.46267e-08 1.95439e-06 1.95439e-06 1.99611e-06 0.000182179 0.000182179 0.000182134 0.000182179 0.000182179 0.000182134 0.00624998 0.00624998 0.00606285
1787064779.767039000 0 1 1 1 1 1 -0.999817 1.87779e-06 0.0299948 3.32861e-05 -4.98973e-06 -1.53639e-06 -0.00694277 0.000307337 0.000279332 -0.000978107 -0.000585314 -0.000246313 -0.000683967 0.0189513 0.0042405 6.67759e-08 6.67759e-08 6.67741e-08 1.95955e-06 1.95955e-06 2.00126e-06 0.000182214 0.000182214 0.000182165 0.000182214 0.000182214 0.000182165 0.00753378 0.00753378 0.00734665
1787064779.770366000 0 1 1 1 1 1 -0.99984 3.00195e-06 0.0299958 3.25638e-05 -6.49176e-06 -3.59981e-06 -0.00694276 0.00036962 0.00029309 -0.000597913 -0.000518338 -0.000433135 -0.00038538 0.0188519 0.00419507 8.04265e-08 8.04265e-08 8.04219e-08 1.99983e-06 1.99983e-06 2.04155e-06 0.000182429 0.000182429 0.000182358 0.000182429 0.000182429 0.000182358 0.0170634 0.0170634 0.0168761
1787064779.771037000 0 1 1 1 1 1 -0.999844 3.25426e-06 0.029996 3.21625e-05 -6.83964e-06 -3.89051e-06 -0.00694301 0.000382273 0.000295906 -0.000597913 -0.000518338 -0.000433135 -0.00038538 0.0188519 0.00419507 8.36704e-08 8.36704e-08 8.3665e-08 2.0467e-06 2.0467e-06 2.08842e-06 0.000182636 0.000182636 0.000182561 0.000182636 0.000182636 0.000182561 0.0228632 0.0228632 0.0226759
1787064779.772097000 0 1 1 1 1 1 -0.999852 3.65803e-06 0.0299963 3.29932e-05 -7.05196e-06 -5.12144e-06 -0.00694254 0.000399535 0.000300983 -0.000382772 -0.00046881 -0.000546506 -0.000277475 0.0185198 0.00427208 8.91247e-08 8.91247e-08 8.91178e-08 2.01298e-06 2.01298e-06 2.0547e-06 0.000182489 0.000182489 0.000182405 0.000182489 0.000182489 0.000182405 0.0179428 0.0179428 0.0177554
1787064779.773079000 0 1 1 1 1 1 -0.999859 4.04381e-06 0.0299966 3.56157e-05 -8.18127e-06 -5.80838e-06 -0.00694417 0.000413515 0.000309104 8.81546e-05 -0.000573932 -0.00057016 -0.00047287 0.0179139 0.00483823 9.45418e-08 9.45418e-08 9.45333e-08 1.97743e-06 1.97743e-06 2.01915e-06 0.000182357 0.000182357 0.000182265 0.000182357 0.000182357 0.000182265 0.0120722 0.0120722 0.0118847
1787064779.774102000 0 1 1 1 1 1 -0.999939 2.59502e-06 0.0299987 2.58182e-05 -8.63322e-06 -4.5715e-06 -0.00903229 0.000376787 0.000367862 0.000490913 -0.000685225 -0.000567194 -0.000797182 0.0174452 0.00552625 5.28107e-08 5.28107e-08 5.28084e-08 1.31582e-06 1.31582e-06 1.33457e-06 0.000143205 0.000143205 0.000143152 0.000143205 0.000143205 0.000143152 0.00655502 0.00655502 0.00642888
1787064779.775086000 0 1 1 1 1 1 -0.999948 2.97862e-06 0.029999 2.60441e-05 -6.20135e-06 -4.92722e-06 -0.00903432 0.000395657 0.000371084 0.000425368 0.000106428 -0.000515286 -0.00100927 0.0177538 0.00512637 5.62352e-08 5.62352e-08 5.62321e-08 1.31842e-06 1.31842e-06 1.33719e-06 0.000143206 0.000143206 0.000143149 0.000143206 0.000143206 0.000143149 0.0074245 0.0074245 0.00729834
1787064779.776071000 0 1 1 1 1 1 -0.999956 3.38427e-06 0.0299994 2.61666e-05 -3.53198e-06 -5.26781e-06 -0.00903631 0.000415539 0.000373103 0.000359058 0.000679604 -0.000477794 -0.00116482 0.0181393 0.0046385 5.99417e-08 5.99417e-08 5.99376e-08 1.32074e-06 1.32074e-06 1.33952e-06 0.000143217 0.000143217 0.000143154 0.000143217 0.000143217 0.000143154 0.00783547 0.00783547 0.0077093
1787064779.777211000 0 1 1 1 1 1 -0.999967 3.86981e-06 0.0299998 2.42914e-05 1.43957e-06 -5.37476e-06 -0.00903813 0.000436258 0.000373921 -0.000138188 0.00159305 -0.000382163 -0.00124985 0.018147 0.00386425 6.45772e-08 6.45772e-08 6.45719e-08 1.32496e-06 1.32496e-06 1.34373e-06 0.000143243 0.000143243 0.000143174 0.000143243 0.000143243 0.000143174 0.00783765 0.00783765 0.00771147
1787064779.778051000 0 1 1 1 1 1 -0.999974 4.24265e-06 0.0300001 2.41754e-05 2.77764e-06 -5.69576e-06 -0.00903918 0.0004515 0.000377166 -0.000138188 0.00159305 -0.000382163 -0.00124985 0.018147 0.00386425 6.82314e-08 6.82314e-08 6.8225e-08 1.33857e-06 1.33857e-06 1.35734e-06 0.000143311 0.000143311 0.000143237 0.000143311 0.000143311 0.000143237 0.0112352 0.0112352 0.011109
1787064779.779075000 0 1 1 1 1 1 -0.999984 4.70373e-06 0.0300005 2.34584e-05 2.97469e-06 -5.75288e-06 -0.0090401 0.000466474 0.000375082 -0.000246128 0.00132405 -0.000319419 -0.00118764 0.0175186 0.0028124 7.29589e-08 7.29589e-08 7.2951e-08 1.32262e-06 1.32262e-06 1.3414e-06 0.000143264 0.000143264 0.000143184 0.000143264 0.000143264 0.000143184 0.00865229 0.00865229 0.00852609
1787064779.780088000 0 1 1 1 1 1 -0.999993 5.17409e-06 0.0300008 2.32817e-05 2.33532e-06 -5.92433e-06 -0.00904066 0.000480598 0.000374683 -0.000231021 0.000910656 -0.000287612 -0.00107587 0.0168921 0.0022506 7.79316e-08 7.79316e-08 7.7922e-08 1.32229e-06 1.32229e-06 1.34106e-06 0.000143264 0.000143264 0.000143176 0.000143264 0.000143264 0.000143176 0.00831972 0.00831972 0.00819353
1787064779.781063000 0 1 1 1 1 1 -1 5.64863e-06 0.0300012 2.31624e-05 4.42084e-06 -7.12753e-06 -0.00904029 0.000496368 0.000374748 -0.000207823 0.00117177 -0.000488813 -0.000823446 0.0167671 0.00187133 8.29959e-08 8.29959e-08 8.29844e-08 1.32188e-06 1.32188e-06 1.34066e-06 0.000143267 0.000143267 0.000143173 0.000143267 0.000143267 0.000143173 0.00809689 0.00809689 0.00797072
1787064779.782054000 0 1 1 1 1 1 -1.00001 6.14999e-06 0.0300016 2.30593e-05 7.24332e-06 -8.64861e-06 -0.00903935 0.000513413 0.000374869 -0.000185076 0.00153819 -0.000717445 -0.000503332 0.0168456 0.00155536 8.8421e-08 8.8421e-08 8.84073e-08 1.32183e-06 1.32183e-06 1.3406e-06 0.000143274 0.000143274 0.000143173 0.000143274 0.000143274 0.000143173 0.00802982 0.00802982 0.00790365
1787064779.783057000 0 1 1 1 1 1 -1.00002 6.67456e-06 0.030002 2.2757e-05 7.03265e-06 -9.28668e-06 -0.0090397 0.000530693 0.000377547 -0.000210923 0.00115092 -0.000699431 -0.000474812 0.0169164 0.00176174 9.41992e-08 9.41992e-08 9.41829e-08 1.32199e-06 1.32199e-06 1.34076e-06 0.000143283 0.000143283 0.000143175 0.000143283 0.000143283 0.000143175 0.00804355 0.00804354 0.00791737
1787064779.784075000 0 1 1 1 1 1 -1.00002 4.06546e-06 0.0300014 1.68676e-05 4.96965e-06 -7.54304e-06 -0.00883181 0.000454381 0.000354034 -0.000246917 0.000649655 -0.0006339 -0.000601791 0.0170365 0.00222496 5.27398e-08 5.27398e-08 5.27352e-08 9.93064e-07 9.93064e-07 1.00372e-06 0.000100267 0.000100267 0.000100207 0.000100267 0.000100267 0.000100207 0.00584979 0.00584979 0.00575476
1787064779.786955000 0 1 1 1 1 1 -1.00005 5.43076e-06 0.0300025 1.76687e-05 4.2124e-06 -6.42525e-06 -0.00883257 0.000499218 0.000365864 1.50212e-05 0.000194318 -0.000123532 -0.000465831 0.0164175 0.00301498 6.31765e-08 6.31765e-08 6.31682e-08 1.07253e-06 1.07253e-06 1.08319e-06 0.000100622 0.000100622 0.000100547 0.000100622 0.000100622 0.000100547 0.0206321 0.0206321 0.020537
