# logged on Tue Aug 18 14:52:59 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1787064779.766846000  191.075 0 7.45961e-09  16  nan  -0.000565928 -0.000512575 -0.000448808  0.0015979 0 -0.0015979  -0.000208247 0.0191487 9.81417  0.00239502 0 9.81958  2.364e-05 -3.4e-07 -3.98e-05  2.364e-05 -3.4e-07 -3.98e-05  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0

1787064779.770210000  195.159 0 7.45961e-09  -  nan  -0.000324369 -0.000455354 -0.000577087  0.0015979 0 -0.0015979  -0.000128954 0.0185655 9.81434  0.00239502 0 9.81958  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.771094000  195.159 0 7.45961e-09  -  nan  0.000128066 -0.000582902 -0.000572124  0.00372843 -0.0015979 -0.000532632  -0.000489776 0.018 9.81508  -0.0119751 0 9.83874  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.772099000  211.379 0 7.45961e-09  -  nan  0.000529993 -0.000696211 -0.000567715  0.00372843 -0.0015979 -0.000532632  -0.000839608 0.0174517 9.8158  -0.0119751 0 9.83874  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.773165000  219.186 0 7.45961e-09  -  nan  0.000411366 0.000273418 -0.000504338  -0.000532632 0.00798948 0  -0.00110583 0.0182333 9.81482  -0.00958008 0.0431104 9.78365  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.774082000  226.876 0 7.45961e-09  -  nan  0.000305983 0.0011348 -0.000448036  -0.000532632 0.00798948 0  -0.00136395 0.018991 9.81387  -0.00958008 0.0431104 9.78365  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.775077000  234.916 0 7.45961e-09  -  nan  0.000212364 0.00190003 -0.00039802  -0.000532632 0.00798948 0  -0.00161421 0.0197256 9.81295  -0.00958008 0.0431104 9.78365  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.776095000  242.526 0 7.45961e-09  -  nan  -0.000287028 0.0018663 -0.000353587  -0.00426106 0.0015979 0  -0.00134619 0.0183953 9.81294  0.00718506 -0.0239502 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.777094000  249.915 0 7.45961e-09  -  nan  -0.000254985 0.00130119 -0.000314114  0 -0.00319579 0  -0.00115929 0.0174703 9.81234  0.00479004 -0.0119751 9.79323  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.778104000  257.405 0 7.45961e-09  -  nan  -0.00022652 0.000799169 -0.000279048  0 -0.00319579 0  -0.000978075 0.0165734 9.81175  0.00479004 -0.0119751 9.79323  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
